marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento
hp,2011.0,8,8,16,sim,4,2,164.0,FULLHD,TN,não,250,500,jogos_intermediarios
lenovo,2017.0,6,9,8,sim,2,1,194.0,FULLHD,IPS,,0,2000,jogos_entrada
acer,2023.0,8,12,32,sim,6,4,47.0,FULLHD,AMOLED,,0,250,jogos_premium
samsung,2020.0,12,20,8,sim,4,4,107.0,FULLHD,VA,não,0,2000,jogos_entrada
apple,2013.0,10,13,16,não,0,3,404.0,4K,AMOLED,,1000,250,premium
samsung,2010.0,10,18,16,sim,6,3,177.0,4K,AMOLED,não,1000,125,jogos_premium
apple,2023.0,6,9,8,não,0,2,404.0,4K,AMOLED,não,0,500,premium
xiaomi,2013.0,6,11,8,não,0,2,555.0,4K,OLED,não,1000,250,premium
xiaomi,2015.0,4,5,16,não,0,2,452.0,FULLHD,AMOLED,,0,250,premium
razer,2017.0,6,6,8,não,0,2,569.0,FULLHD,AMOLED,não,0,250,premium
huawei,2012.0,12,13,8,não,0,3,449.0,FULLHD,AMOLED,,500,250,premium
samsung,,6,12,2,não,0,3,575.0,FULLHD,IPS,sim,1000,250,2em1
dell,2017.0,10,17,8,não,0,4,121.0,HD,IPS,não,0,250,intermediario
lenovo,2022.0,4,7,12,sim,2,4,89.0,FULLHD,TN,,0,500,jogos_entrada
xiaomi,2010.0,4,7,16,não,0,3,424.0,4K,AMOLED,não,2000,250,premium
huawei,2018.0,12,14,8,não,0,2,523.0,QUADHD,AMOLED,,0,2000,premium
asus,2010.0,6,7,2,não,0,2,50.0,HD,VA,,250,0,intermediario
xiaomi,2023.0,4,4,8,não,0,3,470.0,FULLHD,OLED,não,0,1000,premium
samsung,2011.0,2,2,4,não,0,4,492.0,HD,TN,,250,0,entrada
lenovo,2018.0,10,15,12,sim,2,4,123.0,FULLHD,OLED,,0,500,jogos_entrada
dell,2010.0,2,2,16,não,0,2,,HD,TN,,250,0,intermediario
xiaomi,2010.0,4,7,16,não,0,3,457.0,QUADHD,AMOLED,não,0,1000,premium
lenovo,2022.0,8,10,64,não,0,2,518.0,FULLHD,TN,não,0,1000,ultraportatil
dell,2018.0,6,6,12,sim,4,1,101.0,4K,TN,,0,250,jogos_intermediarios
dell,2017.0,12,17,16,sim,6,2,30.0,4K,AMOLED,não,0,1000,jogos_premium
dell,,6,12,2,não,0,4,394.0,HD,TN,não,500,0,intermediario
razer,2021.0,8,13,16,não,0,3,454.0,QUADHD,AMOLED,não,0,1000,premium
apple,2014.0,8,8,8,não,0,2,538.0,QUADHD,OLED,,250,250,premium
asus,2018.0,8,13,8,não,0,3,509.0,QUADHD,IPS,sim,0,250,premium
lenovo,2019.0,10,16,12,sim,4,4,54.0,FULLHD,TN,não,0,250,jogos_entrada
samsung,2018.0,8,10,16,sim,6,3,145.0,FULLHD,AMOLED,não,0,2000,jogos_premium
lenovo,2022.0,8,12,2,não,0,2,440.0,HD,TN,,1000,500,entrada
razer,2017.0,10,17,8,não,0,3,441.0,FULLHD,OLED,,0,1000,premium
lenovo,2019.0,4,8,16,sim,6,4,127.0,FULLHD,IPS,não,0,500,jogos_intermediarios
lenovo,2019.0,12,20,4,não,0,2,103.0,FULLHD,IPS,,0,250,2em1
acer,2013.0,10,11,16,sim,6,1,101.0,FULLHD,AMOLED,não,2000,2000,jogos_premium
acer,2023.0,6,12,16,sim,8,4,33.0,4K,OLED,não,0,500,jogos_premium
lenovo,2020.0,6,8,8,não,0,2,497.0,FULLHD,OLED,não,0,1000,premium
dell,2023.0,12,12,12,não,0,2,294.0,HD,TN,,500,1000,entrada
huawei,2022.0,6,9,8,não,0,2,544.0,QUADHD,AMOLED,não,0,2000,premium
positivo,2011.0,6,10,6,não,0,1,83.0,HD,TN,,1000,0,entrada
hp,2014.0,4,7,32,não,0,2,584.0,FULLHD,IPS,não,500,125,ultraportatil
apple,2018.0,4,6,8,não,0,2,,QUADHD,OLED,não,0,2000,premium
acer,2013.0,8,9,12,sim,6,3,41.0,FULLHD,OLED,não,500,2000,jogos_intermediarios
lenovo,2022.0,4,6,64,não,0,3,313.0,FULLHD,AMOLED,sim,0,1000,2em1
huawei,,8,10,16,não,0,2,431.0,4K,AMOLED,não,250,250,premium
positivo,2018.0,8,15,16,não,0,4,56.0,HD,IPS,não,250,0,entrada
samsung,2014.0,8,12,8,não,0,2,94.0,FULLHD,IPS,,500,250,2em1
xiaomi,2012.0,4,5,8,não,0,3,541.0,QUADHD,AMOLED,,1000,250,premium
positivo,,6,9,32,não,0,3,76.0,HD,IPS,,1000,0,entrada
lenovo,2011.0,2,3,12,não,0,1,460.0,HD,TN,,500,0,entrada
huawei,2016.0,10,15,8,não,0,2,525.0,QUADHD,OLED,,0,500,premium
xiaomi,2015.0,12,17,16,não,0,2,521.0,QUADHD,OLED,,0,250,premium
samsung,2022.0,6,10,4,não,0,3,437.0,FULLHD,IPS,,0,2000,2em1
xiaomi,2012.0,10,10,8,não,0,2,419.0,FULLHD,AMOLED,não,1000,250,premium
razer,2013.0,6,10,16,sim,6,4,119.0,QUADHD,AMOLED,não,250,2000,jogos_premium
positivo,2010.0,2,2,8,não,0,3,296.0,HD,TN,não,2000,0,entrada
positivo,,4,6,6,não,0,3,132.0,HD,TN,não,0,2000,entrada
razer,2019.0,8,13,16,sim,6,4,,4K,AMOLED,,0,250,jogos_premium
razer,2020.0,12,16,32,sim,6,4,,4K,AMOLED,,0,250,jogos_premium
acer,2022.0,10,13,4,não,0,3,530.0,FULLHD,TN,,0,2000,ultraportatil
asus,2014.0,4,5,2,não,0,2,547.0,HD,VA,não,2000,0,intermediario
hp,,8,11,12,sim,4,4,40.0,FULLHD,IPS,,0,250,jogos_entrada
apple,2022.0,12,19,16,não,0,2,495.0,FULLHD,OLED,não,0,500,premium
huawei,2022.0,8,9,16,não,0,3,596.0,4K,AMOLED,,0,250,premium
xiaomi,2010.0,4,7,8,não,0,2,429.0,QUADHD,OLED,,0,1000,premium
asus,2022.0,8,8,4,não,0,3,564.0,FULLHD,AMOLED,sim,0,2000,2em1
asus,2023.0,10,10,6,não,0,4,590.0,HD,TN,,1000,125,entrada
razer,2023.0,12,22,16,não,0,3,455.0,4K,AMOLED,não,0,2000,premium
apple,2017.0,8,9,16,não,0,3,600.0,FULLHD,OLED,,0,1000,premium
hp,2023.0,6,12,12,sim,4,4,136.0,4K,TN,,0,250,jogos_intermediarios
huawei,2017.0,8,12,8,não,0,3,429.0,FULLHD,AMOLED,,0,2000,premium
asus,2019.0,10,20,64,não,0,1,,HD,IPS,,1000,0,entrada
huawei,2013.0,4,8,8,não,0,2,575.0,QUADHD,OLED,não,250,250,premium
huawei,2019.0,4,6,16,não,0,3,564.0,4K,OLED,não,0,2000,premium
apple,2015.0,12,17,16,não,0,2,588.0,QUADHD,AMOLED,,0,250,premium
samsung,2022.0,12,14,6,não,0,3,52.0,FULLHD,IPS,,0,250,2em1
hp,2017.0,8,11,6,não,0,2,514.0,FULLHD,VA,,0,500,ultraportatil
,2014.0,8,11,32,sim,6,3,170.0,FULLHD,OLED,,250,2000,jogos_premium
acer,2022.0,6,10,8,não,0,3,272.0,HD,VA,,0,500,intermediario
hp,2021.0,8,9,12,sim,2,4,129.0,FULLHD,VA,,0,500,jogos_entrada
razer,2020.0,8,15,16,sim,6,4,92.0,4K,OLED,,0,250,jogos_premium
asus,2011.0,4,6,12,não,0,2,510.0,HD,IPS,,0,250,entrada
xiaomi,2016.0,8,16,16,não,0,3,582.0,4K,OLED,não,0,250,premium
dell,2018.0,8,14,8,não,0,2,49.0,FULLHD,AMOLED,,0,1000,2em1
acer,2010.0,12,13,16,sim,6,2,120.0,FULLHD,AMOLED,não,2000,125,jogos_premium
hp,2014.0,4,5,16,sim,4,1,191.0,QUADHD,OLED,,0,500,jogos_intermediarios
asus,,4,6,12,não,0,1,104.0,HD,VA,não,250,0,intermediario
xiaomi,2023.0,4,5,8,não,0,2,447.0,QUADHD,OLED,não,0,250,premium
razer,2017.0,6,7,8,não,0,3,499.0,QUADHD,AMOLED,,0,250,premium
samsung,2017.0,8,13,64,não,0,3,458.0,HD,IPS,não,250,0,entrada
acer,2014.0,6,10,6,não,0,3,519.0,FULLHD,OLED,,1000,1000,ultraportatil
samsung,2019.0,6,9,8,não,0,3,513.0,QUADHD,AMOLED,,0,2000,premium
apple,2018.0,6,12,8,não,0,2,586.0,FULLHD,AMOLED,não,0,500,premium
dell,2017.0,6,12,32,não,0,4,429.0,HD,OLED,não,250,0,intermediario
samsung,2018.0,6,9,8,não,0,4,169.0,HD,TN,,500,0,entrada
hp,2019.0,6,9,16,não,0,2,504.0,FULLHD,VA,,0,500,ultraportatil
hp,2022.0,8,9,16,sim,8,4,94.0,QUADHD,VA,não,0,1000,jogos_intermediarios
asus,2020.0,12,15,64,não,0,2,171.0,HD,IPS,não,0,250,intermediario
razer,2021.0,10,17,16,não,0,3,587.0,QUADHD,AMOLED,não,0,250,premium
samsung,2022.0,10,10,12,não,0,3,142.0,FULLHD,AMOLED,,0,2000,2em1
samsung,2016.0,4,7,8,não,0,3,547.0,FULLHD,OLED,,0,250,ultraportatil
hp,2010.0,6,9,12,sim,4,4,126.0,FULLHD,TN,,500,1000,jogos_intermediarios
positivo,,6,12,2,não,0,3,76.0,HD,IPS,não,250,0,entrada
huawei,2012.0,10,13,8,não,0,3,584.0,QUADHD,OLED,,250,250,premium
apple,2011.0,8,8,16,não,0,2,592.0,4K,AMOLED,,0,1000,premium
lenovo,2018.0,6,6,16,não,0,2,381.0,HD,IPS,não,0,2000,intermediario
hp,2010.0,4,7,8,não,0,3,541.0,FULLHD,IPS,não,0,1000,ultraportatil
huawei,2016.0,12,13,16,não,0,2,576.0,QUADHD,OLED,não,0,1000,premium
positivo,2012.0,6,9,2,não,0,2,149.0,HD,IPS,não,250,0,entrada
asus,2015.0,10,10,32,não,0,2,257.0,HD,TN,não,1000,0,entrada
positivo,2019.0,10,19,4,não,0,1,131.0,HD,IPS,não,1000,0,entrada
asus,,10,16,16,não,0,3,588.0,FULLHD,OLED,não,0,500,premium
samsung,2023.0,6,6,8,sim,2,4,137.0,FULLHD,VA,,0,250,jogos_entrada
apple,2013.0,10,12,8,não,0,2,407.0,QUADHD,AMOLED,não,250,250,premium
apple,2023.0,10,20,16,não,0,2,488.0,FULLHD,OLED,,0,250,premium
hp,2016.0,10,17,12,sim,6,1,159.0,FULLHD,IPS,não,0,250,jogos_intermediarios
positivo,2019.0,4,5,12,não,0,2,38.0,HD,IPS,,250,0,entrada
apple,2023.0,12,12,8,não,0,2,452.0,4K,AMOLED,,0,250,premium
apple,2011.0,4,8,8,não,0,3,414.0,4K,AMOLED,,0,250,premium
razer,2022.0,8,15,16,não,0,2,470.0,QUADHD,OLED,,0,500,premium
huawei,2022.0,4,4,8,não,0,3,482.0,QUADHD,OLED,não,0,1000,premium
lenovo,2011.0,2,3,16,não,0,3,309.0,FULLHD,IPS,sim,0,250,2em1
samsung,2010.0,6,11,12,sim,2,2,36.0,FULLHD,IPS,,0,250,jogos_entrada
huawei,2023.0,10,19,16,não,0,3,537.0,FULLHD,AMOLED,não,0,250,premium
razer,2012.0,8,12,8,não,0,3,445.0,FULLHD,OLED,não,500,250,premium
acer,2014.0,8,9,2,não,0,3,,FULLHD,OLED,não,250,250,ultraportatil
positivo,2015.0,10,16,16,não,0,2,221.0,HD,TN,não,500,0,entrada
razer,2015.0,12,12,16,não,0,3,553.0,FULLHD,AMOLED,não,0,500,premium
dell,,4,6,16,não,0,3,423.0,HD,TN,não,500,0,entrada
huawei,2019.0,10,19,16,não,0,3,,4K,OLED,,0,500,premium
apple,2014.0,4,4,8,não,0,3,416.0,4K,OLED,,250,250,premium
dell,2018.0,6,9,2,não,0,2,65.0,FULLHD,AMOLED,sim,0,2000,2em1
samsung,2014.0,6,7,32,sim,6,1,112.0,FULLHD,AMOLED,não,250,500,jogos_premium
positivo,2012.0,6,11,8,não,0,3,299.0,HD,IPS,não,2000,0,entrada
xiaomi,2022.0,12,21,8,não,0,2,492.0,4K,OLED,,0,2000,premium
razer,2014.0,12,14,16,sim,6,1,190.0,FULLHD,AMOLED,,500,1000,jogos_premium
positivo,2010.0,4,8,4,não,0,4,106.0,HD,IPS,não,250,0,entrada
samsung,2021.0,4,6,16,sim,6,4,101.0,4K,OLED,,0,1000,jogos_premium
samsung,,12,23,12,sim,6,3,181.0,FULLHD,OLED,,0,500,jogos_intermediarios
positivo,2017.0,10,20,64,não,0,1,142.0,HD,IPS,,1000,0,entrada
acer,2012.0,10,17,16,não,0,2,487.0,4K,OLED,,0,250,premium
acer,2017.0,12,12,16,sim,4,2,148.0,QUADHD,VA,não,0,2000,jogos_intermediarios
hp,2017.0,10,18,8,não,0,2,541.0,FULLHD,OLED,não,0,500,ultraportatil
asus,2012.0,2,4,8,não,0,3,139.0,HD,TN,não,1000,0,entrada
razer,,4,6,16,não,0,2,502.0,FULLHD,OLED,não,0,2000,premium
dell,2023.0,10,16,8,sim,4,4,,FULLHD,VA,,0,1000,jogos_entrada
acer,2021.0,4,6,8,não,0,2,591.0,FULLHD,AMOLED,não,0,2000,premium
razer,,8,8,32,sim,6,2,,4K,AMOLED,não,0,1000,jogos_premium
hp,2023.0,6,7,12,sim,4,4,,QUADHD,TN,não,0,250,jogos_intermediarios
xiaomi,2010.0,10,11,16,não,0,3,568.0,4K,OLED,não,500,250,premium
xiaomi,,12,15,16,não,0,3,420.0,FULLHD,OLED,,0,1000,premium
xiaomi,2023.0,8,10,16,não,0,3,518.0,QUADHD,OLED,,0,250,premium
huawei,2017.0,8,12,8,não,0,2,493.0,4K,AMOLED,,0,2000,premium
acer,2019.0,8,13,2,não,0,4,250.0,HD,TN,não,0,250,entrada
apple,2020.0,12,15,8,não,0,2,483.0,4K,AMOLED,,0,2000,premium
razer,2019.0,4,5,32,sim,6,4,75.0,QUADHD,AMOLED,,0,250,jogos_premium
lenovo,2021.0,10,10,64,não,0,4,482.0,HD,IPS,não,250,0,intermediario
positivo,2021.0,12,20,4,não,0,1,151.0,HD,TN,não,250,0,entrada
hp,2021.0,6,11,12,sim,4,4,90.0,FULLHD,TN,não,0,500,jogos_entrada
samsung,2012.0,2,2,16,não,0,3,477.0,FULLHD,IPS,,0,1000,2em1
samsung,2022.0,8,16,8,não,0,2,352.0,FULLHD,IPS,,0,250,2em1
huawei,2010.0,4,8,16,não,0,2,411.0,QUADHD,OLED,não,0,500,premium
acer,2022.0,4,4,32,sim,6,4,124.0,FULLHD,OLED,não,0,2000,jogos_premium
xiaomi,2023.0,8,15,16,não,0,3,,4K,AMOLED,,0,250,premium
lenovo,2010.0,6,11,12,sim,4,2,64.0,FULLHD,IPS,não,0,250,jogos_entrada
hp,2015.0,10,15,12,sim,6,2,155.0,FULLHD,OLED,,0,1000,jogos_intermediarios
apple,,10,11,16,não,0,3,556.0,FULLHD,AMOLED,,0,500,premium
apple,2014.0,4,8,8,não,0,2,526.0,4K,OLED,,250,250,premium
xiaomi,2012.0,8,15,8,não,0,2,485.0,QUADHD,OLED,,0,500,premium
huawei,2023.0,6,12,16,não,0,2,476.0,4K,AMOLED,não,0,500,premium
huawei,2015.0,8,14,16,não,0,2,,4K,AMOLED,,0,500,premium
xiaomi,2015.0,4,6,16,não,0,2,452.0,QUADHD,OLED,não,0,2000,premium
huawei,2011.0,8,12,16,não,0,2,577.0,FULLHD,OLED,,1000,250,premium
xiaomi,2019.0,8,12,8,não,0,3,469.0,FULLHD,AMOLED,,0,500,premium
razer,2010.0,6,11,8,não,0,2,589.0,FULLHD,OLED,não,500,250,premium
dell,2022.0,4,5,8,não,0,4,50.0,HD,IPS,,1000,2000,entrada
asus,2012.0,2,4,8,não,0,2,347.0,HD,OLED,,1000,0,intermediario
xiaomi,2017.0,12,13,8,não,0,3,428.0,QUADHD,AMOLED,,0,250,premium
dell,2017.0,6,10,16,sim,4,1,174.0,QUADHD,OLED,não,0,250,jogos_intermediarios
apple,2011.0,4,6,8,não,0,3,459.0,QUADHD,AMOLED,não,0,250,premium
xiaomi,2011.0,10,12,8,não,0,2,,4K,AMOLED,,1000,250,premium
samsung,2019.0,8,10,6,não,0,4,388.0,HD,TN,,1000,0,intermediario
samsung,,6,7,16,não,0,2,524.0,HD,TN,,250,0,entrada
hp,2011.0,6,10,12,sim,2,3,41.0,FULLHD,OLED,,0,1000,jogos_entrada
samsung,2017.0,10,12,6,não,0,3,379.0,FULLHD,IPS,,0,1000,2em1
xiaomi,2010.0,8,8,16,não,0,2,523.0,4K,AMOLED,,1000,250,premium
acer,2016.0,4,5,4,não,0,2,547.0,FULLHD,AMOLED,sim,0,2000,2em1
lenovo,2014.0,8,14,12,sim,6,2,145.0,4K,OLED,,1000,125,jogos_intermediarios
dell,2017.0,4,7,12,sim,2,1,133.0,FULLHD,VA,não,0,1000,jogos_entrada
razer,2011.0,4,7,16,não,0,2,,4K,OLED,,500,250,premium
acer,2021.0,10,15,8,sim,4,4,47.0,FULLHD,IPS,,0,1000,jogos_entrada
positivo,2012.0,2,3,4,não,0,1,95.0,HD,TN,,0,2000,entrada
asus,2023.0,4,4,8,não,0,2,511.0,FULLHD,AMOLED,,0,250,2em1
hp,2023.0,4,8,12,sim,4,4,86.0,4K,TN,não,0,250,jogos_intermediarios
positivo,2020.0,6,8,2,não,0,4,,HD,TN,,0,1000,entrada
apple,2010.0,12,17,8,não,0,2,408.0,4K,OLED,não,2000,250,premium
razer,2019.0,6,6,8,não,0,3,560.0,QUADHD,AMOLED,,0,2000,premium
razer,2010.0,6,7,16,sim,6,1,76.0,QUADHD,OLED,,0,250,jogos_premium
positivo,2016.0,8,16,2,não,0,3,78.0,HD,TN,,1000,0,entrada
hp,2016.0,8,8,6,não,0,3,568.0,FULLHD,OLED,,0,250,ultraportatil
positivo,2015.0,4,4,12,não,0,2,244.0,HD,TN,,250,0,entrada
dell,2019.0,8,13,12,sim,4,4,98.0,4K,TN,não,0,1000,jogos_intermediarios
positivo,2017.0,6,9,2,não,0,4,63.0,HD,TN,,0,500,entrada
xiaomi,2015.0,8,13,16,não,0,2,569.0,4K,AMOLED,,0,500,premium
hp,2014.0,10,11,16,não,0,3,531.0,FULLHD,IPS,não,500,2000,ultraportatil
samsung,2019.0,4,4,16,sim,6,4,,4K,OLED,,0,500,jogos_premium
hp,,8,9,6,não,0,2,567.0,FULLHD,OLED,não,0,250,ultraportatil
asus,2015.0,6,7,12,não,0,1,552.0,HD,IPS,não,500,0,entrada
xiaomi,2021.0,12,15,8,não,0,2,480.0,FULLHD,AMOLED,,0,500,premium
dell,2022.0,8,10,32,não,0,1,366.0,HD,IPS,,0,250,entrada
apple,,4,7,16,não,0,3,546.0,4K,AMOLED,não,500,250,premium
hp,2023.0,6,11,16,sim,6,4,169.0,QUADHD,IPS,,0,250,jogos_intermediarios
asus,2011.0,6,7,16,não,0,3,500.0,FULLHD,IPS,,250,250,ultraportatil
apple,2014.0,4,5,8,não,0,2,,QUADHD,OLED,não,250,250,premium
asus,2023.0,8,12,64,não,0,3,285.0,HD,VA,,0,1000,intermediario
apple,2014.0,12,18,16,não,0,2,452.0,QUADHD,AMOLED,,500,250,premium
samsung,2015.0,10,16,12,sim,6,3,81.0,4K,VA,não,0,250,jogos_intermediarios
asus,2017.0,6,10,4,não,0,2,441.0,FULLHD,IPS,sim,0,250,2em1
apple,2012.0,12,19,8,não,0,2,446.0,QUADHD,OLED,,1000,250,premium
positivo,2018.0,10,12,2,não,0,2,226.0,HD,IPS,não,1000,0,entrada
lenovo,2014.0,8,9,16,sim,6,1,47.0,FULLHD,AMOLED,,2000,250,jogos_premium
huawei,2010.0,12,13,8,não,0,2,454.0,4K,AMOLED,não,500,250,premium
acer,2011.0,6,12,8,não,0,1,460.0,HD,TN,,1000,0,entrada
positivo,2023.0,4,4,6,não,0,1,252.0,HD,TN,não,250,2000,entrada
positivo,2011.0,2,3,2,não,0,3,187.0,HD,IPS,,0,2000,entrada
lenovo,2011.0,4,6,4,não,0,1,137.0,HD,TN,,500,0,entrada
positivo,2010.0,4,4,4,não,0,2,116.0,HD,IPS,,1000,0,entrada
dell,2020.0,10,11,16,não,0,2,574.0,QUADHD,AMOLED,,0,500,premium
acer,2012.0,2,2,2,não,0,3,532.0,FULLHD,TN,não,250,2000,ultraportatil
lenovo,2019.0,12,18,32,não,0,3,135.0,HD,IPS,não,0,500,entrada
acer,2021.0,8,11,12,sim,4,4,110.0,FULLHD,OLED,não,0,2000,jogos_entrada
acer,2023.0,12,17,2,não,0,2,548.0,FULLHD,AMOLED,sim,0,1000,2em1
positivo,2023.0,10,16,12,não,0,1,67.0,HD,TN,não,250,2000,entrada
lenovo,2023.0,4,8,2,não,0,2,131.0,HD,IPS,,0,250,intermediario
dell,2021.0,8,10,16,sim,6,4,62.0,QUADHD,OLED,não,0,2000,jogos_premium
dell,2017.0,6,8,32,não,0,4,125.0,HD,TN,não,250,0,entrada
huawei,2013.0,10,12,8,não,0,2,442.0,QUADHD,OLED,,500,250,premium
hp,,8,13,12,sim,4,3,88.0,QUADHD,IPS,,0,2000,jogos_intermediarios
huawei,2011.0,8,9,8,não,0,3,519.0,4K,OLED,não,1000,250,premium
asus,2010.0,2,4,16,não,0,3,140.0,HD,TN,,1000,0,intermediario
lenovo,2022.0,10,14,12,sim,4,4,119.0,FULLHD,VA,,0,500,jogos_intermediarios
acer,2020.0,10,16,8,não,0,2,563.0,FULLHD,TN,não,0,250,ultraportatil
acer,2023.0,12,17,12,sim,2,4,154.0,FULLHD,IPS,,0,500,jogos_entrada
huawei,2017.0,4,4,16,não,0,3,472.0,4K,OLED,não,0,500,premium
apple,2014.0,4,4,16,não,0,3,467.0,QUADHD,AMOLED,,500,250,premium
hp,2023.0,6,7,12,sim,2,4,93.0,FULLHD,OLED,,0,1000,jogos_entrada
lenovo,,12,21,12,sim,6,4,47.0,QUADHD,TN,,0,500,jogos_intermediarios
dell,2010.0,6,12,16,não,0,1,229.0,HD,TN,,1000,0,entrada
lenovo,,4,7,12,não,0,1,432.0,HD,VA,,250,0,intermediario
samsung,,10,12,16,sim,8,4,64.0,FULLHD,OLED,não,0,500,jogos_intermediarios
acer,2014.0,4,6,12,não,0,2,591.0,FULLHD,AMOLED,,500,250,2em1
lenovo,2014.0,8,15,32,não,0,3,195.0,FULLHD,IPS,,1000,250,2em1
apple,2015.0,12,18,8,não,0,2,577.0,4K,AMOLED,não,0,1000,premium
hp,2016.0,10,17,12,sim,6,2,74.0,FULLHD,IPS,,0,500,jogos_intermediarios
samsung,2023.0,6,11,8,não,0,3,485.0,4K,IPS,,0,250,premium
asus,2017.0,8,15,12,não,0,3,514.0,FULLHD,OLED,não,0,250,ultraportatil
huawei,2022.0,6,7,16,não,0,2,559.0,FULLHD,OLED,não,0,250,premium
lenovo,2015.0,4,8,8,sim,4,1,48.0,FULLHD,IPS,,0,250,jogos_entrada
asus,,4,8,6,não,0,2,272.0,HD,IPS,,2000,0,entrada
acer,2013.0,4,6,16,sim,6,1,33.0,FULLHD,AMOLED,,2000,500,jogos_premium
apple,2017.0,12,24,8,não,0,3,531.0,4K,AMOLED,,0,1000,premium
samsung,2014.0,10,11,8,não,0,3,,4K,OLED,não,1000,250,premium
samsung,2019.0,6,11,64,não,0,2,77.0,FULLHD,AMOLED,,0,250,2em1
apple,2023.0,8,14,8,não,0,2,428.0,FULLHD,AMOLED,,0,2000,premium
xiaomi,2010.0,4,8,8,não,0,2,531.0,4K,OLED,não,250,250,premium
acer,2011.0,6,11,6,não,0,3,197.0,HD,VA,,500,0,intermediario
hp,2023.0,6,10,64,não,0,3,552.0,FULLHD,TN,não,0,1000,ultraportatil
apple,,12,24,16,não,0,3,551.0,FULLHD,OLED,,0,500,premium
xiaomi,2010.0,10,10,16,não,0,3,422.0,QUADHD,AMOLED,,1000,250,premium
asus,2014.0,10,11,2,não,0,2,528.0,FULLHD,IPS,sim,0,1000,2em1
acer,2012.0,2,3,12,sim,2,4,50.0,FULLHD,IPS,não,0,250,jogos_entrada
razer,2022.0,4,7,16,sim,12,4,122.0,QUADHD,AMOLED,não,0,2000,jogos_premium
acer,,4,4,12,sim,6,1,96.0,QUADHD,OLED,,0,250,jogos_intermediarios
huawei,2010.0,10,17,8,não,0,3,468.0,QUADHD,OLED,não,2000,250,premium
hp,2015.0,4,6,12,sim,4,1,89.0,4K,TN,,0,250,jogos_intermediarios
positivo,2015.0,10,18,6,não,0,1,266.0,HD,IPS,,500,0,entrada
razer,2023.0,6,10,16,não,0,3,410.0,QUADHD,AMOLED,,0,250,premium
huawei,2021.0,4,4,16,não,0,3,457.0,QUADHD,OLED,não,0,2000,premium
apple,2018.0,4,8,8,não,0,3,554.0,FULLHD,AMOLED,não,0,250,premium
samsung,2019.0,12,15,6,não,0,4,523.0,HD,IPS,não,0,500,entrada
hp,2012.0,6,12,12,sim,2,3,137.0,FULLHD,IPS,,250,125,jogos_entrada
positivo,2023.0,4,5,6,não,0,4,60.0,HD,TN,não,1000,250,entrada
acer,,12,22,2,não,0,3,51.0,FULLHD,IPS,sim,0,2000,2em1
hp,2021.0,4,8,2,não,0,3,552.0,FULLHD,OLED,,0,500,ultraportatil
asus,2016.0,10,16,6,não,0,2,285.0,HD,TN,não,500,0,entrada
huawei,2020.0,8,8,16,não,0,2,481.0,4K,AMOLED,,0,1000,premium
acer,,4,6,12,sim,4,1,154.0,FULLHD,VA,não,0,250,jogos_entrada
xiaomi,2020.0,12,22,8,não,0,3,555.0,FULLHD,AMOLED,,0,250,premium
apple,2019.0,6,6,16,não,0,2,578.0,4K,OLED,,0,250,premium
huawei,2013.0,6,8,16,não,0,3,580.0,FULLHD,OLED,não,1000,250,premium
lenovo,2018.0,12,16,32,sim,6,2,199.0,4K,OLED,,0,1000,jogos_premium
xiaomi,2011.0,8,13,8,não,0,3,474.0,4K,OLED,,500,250,premium
positivo,2010.0,2,2,8,não,0,3,289.0,HD,TN,,250,0,entrada
lenovo,2017.0,4,4,16,não,0,3,437.0,4K,AMOLED,não,0,250,premium
razer,2020.0,8,14,32,sim,6,4,112.0,4K,OLED,não,0,250,jogos_premium
razer,2023.0,8,16,8,não,0,3,469.0,FULLHD,AMOLED,não,0,2000,premium
apple,2010.0,8,14,8,não,0,2,525.0,QUADHD,AMOLED,não,2000,250,premium
lenovo,2023.0,6,9,16,sim,6,4,97.0,QUADHD,TN,,0,1000,jogos_intermediarios
apple,2019.0,12,13,16,não,0,2,481.0,FULLHD,OLED,não,0,250,premium
lenovo,2017.0,4,5,2,não,0,1,224.0,HD,TN,não,1000,0,intermediario
dell,2020.0,10,18,6,não,0,2,564.0,FULLHD,OLED,,0,250,ultraportatil
huawei,2017.0,12,23,16,não,0,2,471.0,FULLHD,OLED,,0,500,premium
razer,2019.0,8,15,16,não,0,2,576.0,QUADHD,AMOLED,não,0,2000,premium
positivo,2015.0,8,14,12,não,0,4,73.0,HD,IPS,,250,0,entrada
xiaomi,2022.0,12,19,8,não,0,2,459.0,FULLHD,OLED,não,0,2000,premium
asus,2022.0,10,16,2,não,0,3,185.0,HD,IPS,não,0,250,intermediario
dell,2018.0,8,10,16,sim,6,2,94.0,4K,AMOLED,,0,2000,jogos_premium
xiaomi,2023.0,10,15,16,não,0,2,,4K,AMOLED,,0,250,premium
asus,2012.0,2,2,6,não,0,3,500.0,FULLHD,VA,não,0,2000,ultraportatil
huawei,2014.0,6,7,16,não,0,3,541.0,4K,OLED,,250,250,premium
apple,2017.0,12,14,8,não,0,2,538.0,FULLHD,AMOLED,não,0,250,premium
