idade,emprego,estado_civil,educacao,saldo_bancario,possui_casa,emprestimo,dia,mes,duracao,qtd_contato,deposito
54.0,unemployed,,secondary,377,no,no,8,apr,1134.0,1.0,yes
48.0,management,,secondary,4415,yes,no,8,apr,1032.0,3.0,yes
32.0,technician,,secondary,303,yes,no,8,apr,150.0,1.0,yes
60.0,admin.,divorced,secondary,12039,no,no,8,apr,236.0,1.0,yes
67.0,retired,,secondary,1443,no,no,8,apr,245.0,1.0,yes
32.0,management,,tertiary,1781,no,no,8,apr,321.0,1.0,yes
26.0,admin.,,secondary,3415,no,no,8,apr,209.0,1.0,yes
33.0,management,,tertiary,318,yes,no,8,apr,1190.0,1.0,yes
21.0,student,,primary,423,no,no,8,apr,,5.0,yes
30.0,technician,,secondary,2544,no,no,8,apr,,2.0,yes
27.0,student,,secondary,2614,no,no,8,apr,143.0,2.0,yes
30.0,services,,secondary,1268,yes,no,8,apr,,4.0,yes
36.0,blue-collar,,secondary,536,yes,no,8,apr,274.0,3.0,yes
27.0,admin.,,secondary,1293,yes,no,8,apr,1665.0,3.0,yes
29.0,management,,tertiary,1377,no,no,8,apr,548.0,2.0,yes
38.0,blue-collar,,secondary,2580,yes,no,8,apr,1691.0,2.0,yes
23.0,admin.,,tertiary,314,no,yes,8,apr,142.0,4.0,yes
38.0,technician,,tertiary,206,no,no,8,apr,350.0,2.0,yes
30.0,technician,,secondary,3286,yes,no,9,apr,743.0,1.0,yes
41.0,services,,secondary,803,yes,no,9,apr,592.0,4.0,yes
33.0,technician,,secondary,719,yes,no,9,apr,448.0,2.0,yes
35.0,admin.,,secondary,898,yes,no,9,apr,214.0,1.0,yes
29.0,admin.,,tertiary,332,no,no,9,apr,179.0,1.0,yes
68.0,retired,divorced,primary,695,no,no,9,apr,233.0,1.0,yes
20.0,student,,secondary,1819,no,no,9,apr,245.0,3.0,yes
30.0,management,,tertiary,2544,no,no,9,apr,152.0,2.0,yes
32.0,blue-collar,,secondary,759,yes,no,9,apr,317.0,5.0,yes
28.0,management,divorced,tertiary,229,yes,no,9,apr,1042.0,2.0,yes
45.0,blue-collar,,secondary,96,yes,no,13,apr,348.0,3.0,yes
29.0,technician,,secondary,110,yes,no,13,apr,1036.0,1.0,yes
31.0,blue-collar,,secondary,1406,yes,yes,13,apr,1091.0,2.0,yes
39.0,services,divorced,secondary,0,yes,no,13,apr,1006.0,2.0,yes
42.0,blue-collar,,primary,2103,yes,no,13,apr,384.0,2.0,yes
35.0,management,,tertiary,1599,yes,yes,13,apr,407.0,1.0,yes
34.0,technician,,tertiary,925,yes,no,13,apr,709.0,1.0,yes
26.0,management,,tertiary,-3,no,no,13,apr,1022.0,2.0,yes
29.0,services,divorced,secondary,84,yes,no,13,apr,1101.0,2.0,yes
44.0,self-employed,,tertiary,1367,yes,no,13,apr,1232.0,3.0,yes
34.0,management,,tertiary,703,yes,no,14,apr,342.0,1.0,yes
33.0,management,,tertiary,0,yes,no,14,apr,535.0,3.0,yes
34.0,management,,tertiary,2646,no,no,14,apr,142.0,1.0,yes
33.0,admin.,,secondary,572,yes,no,14,apr,344.0,1.0,yes
22.0,student,,secondary,107,no,no,14,apr,125.0,1.0,yes
32.0,technician,,secondary,765,yes,yes,14,apr,850.0,2.0,yes
36.0,services,,secondary,-253,yes,no,14,apr,1073.0,1.0,yes
44.0,admin.,divorced,secondary,0,no,no,14,apr,1594.0,1.0,yes
65.0,retired,,secondary,2,no,no,14,apr,450.0,1.0,yes
61.0,self-employed,divorced,tertiary,6,yes,no,14,apr,133.0,2.0,yes
41.0,housemaid,,primary,0,no,no,14,apr,168.0,1.0,yes
24.0,management,,unknown,448,no,no,14,apr,324.0,1.0,yes
77.0,retired,divorced,tertiary,4659,no,no,14,apr,161.0,1.0,yes
62.0,housemaid,,tertiary,1528,no,no,14,apr,496.0,1.0,yes
30.0,unemployed,,tertiary,330,no,no,14,apr,,1.0,yes
29.0,admin.,,secondary,731,no,no,14,apr,,3.0,yes
29.0,unemployed,,secondary,25,no,no,14,apr,207.0,2.0,yes
65.0,management,,secondary,587,no,no,15,apr,223.0,2.0,yes
43.0,services,,primary,2557,yes,no,15,apr,165.0,2.0,yes
70.0,retired,divorced,primary,275,no,no,15,apr,,1.0,yes
32.0,services,,secondary,1129,yes,no,15,apr,903.0,2.0,yes
46.0,technician,,secondary,2149,yes,no,15,apr,282.0,2.0,yes
33.0,admin.,,secondary,855,no,no,15,apr,,1.0,yes
57.0,services,,primary,491,yes,no,15,apr,1217.0,3.0,yes
62.0,blue-collar,,secondary,180,no,no,15,apr,389.0,2.0,yes
32.0,services,,secondary,133,no,no,15,apr,171.0,1.0,yes
39.0,blue-collar,,secondary,649,yes,no,15,apr,668.0,1.0,yes
76.0,housemaid,divorced,primary,1411,no,no,15,apr,170.0,3.0,yes
36.0,admin.,,secondary,11174,yes,no,15,apr,953.0,1.0,yes
27.0,technician,,secondary,439,yes,no,15,apr,1038.0,2.0,yes
38.0,management,,tertiary,6158,yes,no,15,apr,139.0,5.0,yes
56.0,blue-collar,,primary,3498,no,no,15,apr,264.0,2.0,yes
51.0,unemployed,,tertiary,1801,no,no,16,apr,838.0,3.0,yes
39.0,management,,tertiary,937,no,no,16,apr,144.0,4.0,yes
35.0,management,divorced,tertiary,26,no,no,16,apr,,2.0,yes
32.0,blue-collar,,secondary,-53,yes,no,16,apr,648.0,1.0,yes
51.0,housemaid,,unknown,2337,yes,no,16,apr,251.0,2.0,yes
37.0,technician,,secondary,1762,no,no,16,apr,334.0,2.0,yes
52.0,entrepreneur,,tertiary,3469,yes,no,16,apr,583.0,1.0,yes
35.0,technician,,secondary,545,yes,no,16,apr,1579.0,1.0,yes
47.0,admin.,,secondary,3480,no,no,16,apr,443.0,1.0,yes
31.0,technician,,secondary,183,no,no,16,apr,495.0,1.0,yes
49.0,services,,secondary,2416,yes,no,16,apr,1366.0,1.0,yes
30.0,management,,tertiary,424,no,no,16,apr,298.0,4.0,yes
35.0,blue-collar,,secondary,0,yes,no,16,apr,1174.0,1.0,yes
44.0,management,,primary,294,no,no,16,apr,165.0,3.0,yes
42.0,blue-collar,,secondary,1598,yes,yes,16,apr,1463.0,2.0,yes
29.0,management,,tertiary,268,no,no,16,apr,667.0,1.0,yes
42.0,technician,divorced,secondary,214,no,no,16,apr,127.0,1.0,yes
43.0,management,,tertiary,240,yes,no,16,apr,453.0,1.0,yes
36.0,technician,,secondary,2511,yes,no,16,apr,700.0,5.0,yes
36.0,technician,,tertiary,4596,yes,no,16,apr,901.0,2.0,yes
32.0,services,,secondary,1273,yes,no,16,apr,1365.0,2.0,yes
54.0,technician,,secondary,3994,no,yes,16,apr,299.0,2.0,yes
50.0,management,,tertiary,469,no,no,16,apr,161.0,1.0,yes
32.0,technician,,tertiary,932,yes,no,16,apr,944.0,1.0,yes
28.0,student,,tertiary,844,no,no,16,apr,551.0,2.0,yes
40.0,services,divorced,primary,471,yes,no,16,apr,1156.0,1.0,yes
34.0,admin.,,secondary,63,yes,no,17,apr,678.0,1.0,yes
52.0,retired,divorced,primary,-779,yes,yes,17,apr,709.0,1.0,yes
35.0,blue-collar,,secondary,293,yes,no,17,apr,1017.0,1.0,yes
32.0,management,divorced,tertiary,294,yes,no,17,apr,1095.0,1.0,yes
60.0,management,,tertiary,13546,no,no,17,apr,452.0,3.0,yes
34.0,blue-collar,,primary,329,yes,no,17,apr,952.0,1.0,yes
30.0,admin.,,secondary,69,yes,no,17,apr,997.0,1.0,yes
39.0,self-employed,,tertiary,-3058,yes,yes,17,apr,882.0,3.0,yes
40.0,services,,secondary,224,yes,no,17,apr,875.0,2.0,yes
38.0,management,,tertiary,165,yes,no,17,apr,526.0,1.0,yes
35.0,management,,tertiary,397,yes,no,17,apr,594.0,1.0,yes
37.0,blue-collar,,primary,3154,yes,no,17,apr,404.0,1.0,yes
29.0,technician,,secondary,1180,yes,no,17,apr,367.0,3.0,yes
36.0,technician,,secondary,-487,yes,no,17,apr,1080.0,1.0,yes
34.0,management,,secondary,879,yes,no,17,apr,712.0,1.0,yes
33.0,technician,,secondary,806,no,no,17,apr,,1.0,yes
29.0,technician,,secondary,674,no,no,17,apr,170.0,5.0,yes
33.0,management,,tertiary,0,yes,no,17,apr,378.0,1.0,yes
41.0,self-employed,,secondary,323,yes,no,17,apr,949.0,2.0,yes
74.0,retired,,secondary,921,no,no,17,apr,394.0,2.0,yes
53.0,technician,,secondary,5303,yes,no,17,apr,320.0,3.0,yes
38.0,admin.,,secondary,0,yes,yes,17,apr,547.0,2.0,yes
41.0,technician,,secondary,4004,no,no,17,apr,314.0,2.0,yes
52.0,technician,,secondary,386,no,no,20,apr,438.0,1.0,yes
40.0,technician,,primary,284,yes,no,20,apr,1332.0,2.0,yes
32.0,entrepreneur,,secondary,-242,yes,no,20,apr,1202.0,3.0,yes
28.0,technician,,secondary,1086,yes,no,20,apr,1112.0,3.0,yes
28.0,management,,secondary,2840,no,no,20,apr,227.0,5.0,yes
35.0,management,,tertiary,43,yes,no,20,apr,860.0,1.0,yes
46.0,management,,primary,3229,yes,no,20,apr,1550.0,1.0,yes
50.0,unknown,,primary,341,yes,yes,20,apr,670.0,4.0,yes
44.0,blue-collar,,secondary,0,no,no,20,apr,133.0,1.0,yes
29.0,blue-collar,divorced,secondary,-19,yes,no,20,apr,712.0,4.0,yes
61.0,retired,,secondary,243,no,no,20,apr,194.0,1.0,yes
70.0,retired,,secondary,2575,no,no,20,apr,216.0,2.0,yes
44.0,blue-collar,,secondary,105,yes,no,20,apr,586.0,1.0,yes
59.0,management,,tertiary,0,yes,yes,20,apr,392.0,1.0,yes
45.0,blue-collar,,primary,-443,yes,yes,20,apr,691.0,1.0,yes
39.0,technician,,tertiary,1524,no,no,20,apr,567.0,1.0,yes
36.0,blue-collar,,primary,1925,yes,no,20,apr,904.0,2.0,yes
78.0,retired,,primary,240,no,no,20,apr,325.0,1.0,yes
28.0,technician,,tertiary,387,yes,no,20,apr,205.0,1.0,yes
50.0,self-employed,divorced,tertiary,13,yes,no,20,apr,,1.0,yes
73.0,retired,divorced,tertiary,3203,no,no,20,apr,148.0,1.0,yes
34.0,management,,tertiary,606,no,no,20,apr,,1.0,yes
28.0,student,,secondary,0,no,no,20,apr,185.0,1.0,yes
42.0,admin.,divorced,secondary,527,no,yes,20,apr,,1.0,yes
54.0,unemployed,divorced,secondary,309,no,no,20,apr,241.0,1.0,yes
27.0,blue-collar,,secondary,4333,no,no,20,apr,163.0,1.0,yes
73.0,retired,,primary,253,no,no,20,apr,345.0,1.0,yes
33.0,management,,tertiary,6807,no,no,20,apr,163.0,1.0,yes
51.0,entrepreneur,,tertiary,83,no,no,20,apr,267.0,2.0,yes
32.0,management,,tertiary,819,yes,no,20,apr,,2.0,yes
33.0,technician,,secondary,1968,yes,no,20,apr,1817.0,3.0,yes
26.0,services,,secondary,136,no,no,20,apr,120.0,1.0,yes
32.0,technician,,secondary,1995,yes,no,20,apr,121.0,1.0,yes
41.0,blue-collar,divorced,primary,285,yes,no,20,apr,1272.0,2.0,yes
39.0,blue-collar,,unknown,621,yes,no,20,apr,1333.0,5.0,yes
24.0,student,,secondary,597,yes,no,20,apr,943.0,3.0,yes
37.0,blue-collar,divorced,secondary,0,yes,no,21,apr,146.0,4.0,yes
35.0,management,,tertiary,1750,yes,no,21,apr,333.0,3.0,yes
26.0,student,,tertiary,10086,no,no,21,apr,,2.0,yes
29.0,technician,,secondary,3466,no,no,21,apr,274.0,1.0,yes
63.0,retired,,unknown,2193,no,no,21,apr,1348.0,4.0,yes
,retired,divorced,primary,2282,no,no,21,apr,207.0,17.0,yes
65.0,retired,,tertiary,1973,no,no,21,apr,396.0,3.0,yes
59.0,technician,,secondary,10925,no,no,21,apr,,1.0,yes
35.0,management,,tertiary,704,no,no,21,apr,164.0,1.0,yes
74.0,retired,,secondary,9480,no,no,21,apr,211.0,1.0,yes
56.0,unemployed,,primary,3391,no,no,21,apr,243.0,1.0,yes
26.0,student,,tertiary,1134,no,no,21,apr,464.0,4.0,yes
30.0,blue-collar,,unknown,6281,no,no,21,apr,149.0,2.0,yes
29.0,self-employed,,secondary,123,no,yes,21,apr,158.0,2.0,yes
78.0,retired,,primary,8556,no,no,21,apr,137.0,2.0,yes
45.0,unknown,divorced,unknown,0,no,no,21,apr,278.0,3.0,yes
29.0,blue-collar,,secondary,2,yes,yes,21,apr,379.0,5.0,yes
39.0,admin.,,tertiary,1108,no,no,21,apr,204.0,1.0,yes
45.0,management,,tertiary,212,no,no,21,apr,65.0,2.0,yes
45.0,technician,,tertiary,5110,no,no,22,apr,341.0,2.0,yes
36.0,student,,secondary,17,no,no,22,apr,621.0,1.0,yes
41.0,unknown,,unknown,942,no,no,22,apr,219.0,1.0,yes
38.0,technician,,secondary,0,yes,no,22,apr,315.0,1.0,yes
33.0,admin.,,tertiary,882,no,no,22,apr,,1.0,yes
30.0,services,,tertiary,81,no,no,22,apr,145.0,1.0,yes
65.0,retired,,primary,276,no,no,22,apr,229.0,1.0,yes
75.0,retired,,tertiary,2991,no,no,22,apr,240.0,1.0,yes
65.0,management,divorced,tertiary,90,yes,no,22,apr,416.0,1.0,yes
53.0,management,,tertiary,3754,no,no,22,apr,307.0,1.0,yes
40.0,management,,primary,395,yes,no,22,apr,232.0,4.0,yes
31.0,admin.,,tertiary,676,yes,no,22,apr,124.0,2.0,yes
25.0,student,,secondary,8,no,no,22,apr,,2.0,yes
37.0,technician,,secondary,0,yes,no,22,apr,1288.0,3.0,yes
32.0,management,,tertiary,2069,no,no,22,apr,545.0,1.0,yes
45.0,management,,tertiary,506,no,no,23,apr,229.0,2.0,yes
35.0,management,,tertiary,8,no,no,23,apr,,3.0,yes
74.0,retired,,primary,670,no,no,23,apr,266.0,5.0,yes
37.0,management,,tertiary,0,yes,no,23,apr,242.0,5.0,yes
59.0,blue-collar,,primary,1939,no,no,23,apr,172.0,1.0,yes
76.0,management,,unknown,1780,yes,no,23,apr,413.0,3.0,yes
25.0,blue-collar,,secondary,0,no,no,23,apr,163.0,1.0,yes
27.0,services,,secondary,955,no,no,23,apr,206.0,1.0,yes
39.0,admin.,,secondary,732,no,no,23,apr,522.0,4.0,yes
24.0,services,,unknown,2022,no,no,23,apr,159.0,4.0,yes
28.0,blue-collar,,tertiary,4099,no,no,23,apr,116.0,4.0,yes
51.0,management,,tertiary,4917,no,no,23,apr,,1.0,yes
66.0,retired,,primary,2883,no,no,23,apr,158.0,1.0,yes
28.0,unemployed,,primary,1374,no,no,23,apr,203.0,4.0,yes
30.0,management,,tertiary,398,no,no,24,apr,235.0,2.0,yes
58.0,blue-collar,,secondary,3027,yes,no,24,apr,160.0,1.0,yes
32.0,management,,tertiary,2974,yes,no,24,apr,227.0,1.0,yes
31.0,technician,,tertiary,1081,no,no,24,apr,202.0,5.0,yes
71.0,technician,,tertiary,383,no,no,27,apr,388.0,3.0,yes
37.0,admin.,,tertiary,3913,yes,no,27,apr,124.0,1.0,yes
56.0,management,divorced,tertiary,3287,no,no,27,apr,497.0,1.0,yes
65.0,retired,,primary,3629,no,no,27,apr,148.0,1.0,yes
72.0,self-employed,,tertiary,132,no,no,27,apr,444.0,1.0,yes
51.0,admin.,,secondary,726,yes,no,27,apr,,,yes
35.0,blue-collar,,secondary,149,yes,no,29,apr,507.0,3.0,yes
34.0,blue-collar,,secondary,640,yes,no,29,apr,636.0,2.0,yes
29.0,admin.,,secondary,7707,yes,no,29,apr,961.0,2.0,yes
30.0,technician,,tertiary,53,no,no,29,apr,375.0,1.0,yes
39.0,technician,,secondary,15,yes,no,30,apr,510.0,1.0,yes
45.0,management,,tertiary,242,no,no,30,apr,587.0,1.0,yes
28.0,admin.,,secondary,377,no,no,30,apr,571.0,1.0,yes
52.0,unemployed,,secondary,94,no,no,30,apr,244.0,1.0,yes
59.0,retired,,primary,363,no,no,30,apr,400.0,1.0,yes
38.0,services,,secondary,1970,yes,no,30,apr,701.0,1.0,yes
47.0,technician,,secondary,1167,yes,no,30,apr,968.0,1.0,yes
52.0,management,,tertiary,193,no,no,30,apr,381.0,1.0,yes
38.0,management,,tertiary,0,yes,no,30,apr,571.0,1.0,yes
29.0,student,,secondary,78,no,no,30,apr,239.0,1.0,yes
36.0,unemployed,,tertiary,1291,no,no,30,apr,195.0,1.0,yes
58.0,retired,,tertiary,1425,no,no,30,apr,224.0,1.0,yes
31.0,technician,,tertiary,3382,no,no,30,apr,739.0,1.0,yes
59.0,retired,divorced,secondary,5583,yes,no,30,apr,720.0,1.0,yes
47.0,blue-collar,,secondary,1230,yes,no,30,apr,412.0,1.0,yes
36.0,admin.,,secondary,96,no,no,30,apr,208.0,1.0,yes
21.0,student,,secondary,224,no,no,30,apr,871.0,1.0,yes
23.0,student,,secondary,0,no,no,30,apr,297.0,1.0,yes
47.0,blue-collar,,secondary,1730,yes,no,30,apr,231.0,1.0,yes
29.0,management,,tertiary,697,no,no,30,apr,365.0,1.0,yes
25.0,management,,tertiary,943,no,no,30,apr,512.0,1.0,yes
37.0,technician,,secondary,1458,no,no,30,apr,281.0,1.0,yes
33.0,admin.,,secondary,95,yes,no,30,apr,335.0,1.0,yes
59.0,technician,,secondary,2308,no,no,30,apr,815.0,1.0,yes
58.0,management,divorced,tertiary,5701,no,no,30,apr,354.0,1.0,yes
44.0,blue-collar,,unknown,1529,yes,no,30,apr,347.0,1.0,yes
48.0,blue-collar,,secondary,292,no,no,30,apr,271.0,1.0,yes
34.0,self-employed,,primary,7468,yes,yes,30,apr,383.0,1.0,yes
42.0,technician,,unknown,1559,no,no,30,apr,368.0,1.0,yes
54.0,admin.,divorced,secondary,1693,no,no,30,apr,1277.0,1.0,yes
42.0,technician,,tertiary,757,no,no,30,apr,354.0,1.0,yes
42.0,blue-collar,,primary,201,yes,no,30,apr,841.0,1.0,yes
44.0,self-employed,divorced,tertiary,1070,yes,no,30,apr,381.0,1.0,yes
37.0,blue-collar,,secondary,1330,no,no,30,apr,390.0,1.0,yes
29.0,student,,secondary,314,no,no,30,apr,465.0,1.0,yes
47.0,unknown,,unknown,677,no,no,30,apr,900.0,2.0,yes
24.0,management,,tertiary,2845,no,no,30,apr,779.0,2.0,yes
34.0,admin.,,secondary,-32,no,yes,30,apr,246.0,2.0,yes
30.0,management,,tertiary,398,no,no,30,apr,554.0,1.0,yes
46.0,technician,,secondary,0,no,no,30,apr,200.0,1.0,yes
34.0,services,,secondary,1337,no,no,30,apr,442.0,1.0,yes
59.0,retired,,secondary,493,no,no,30,apr,237.0,1.0,yes
35.0,management,,tertiary,1750,yes,no,30,apr,687.0,1.0,yes
33.0,technician,,tertiary,4401,no,no,30,apr,439.0,1.0,yes
35.0,management,,tertiary,193,yes,no,30,apr,565.0,1.0,yes
37.0,management,,tertiary,5106,no,no,30,apr,244.0,1.0,yes
35.0,admin.,,tertiary,994,no,no,30,apr,400.0,1.0,yes
38.0,technician,,tertiary,1101,no,no,30,apr,800.0,1.0,yes
33.0,blue-collar,,unknown,129,yes,yes,30,apr,482.0,1.0,yes
42.0,management,,tertiary,6060,yes,no,30,apr,316.0,1.0,yes
33.0,management,,tertiary,55,no,no,30,apr,526.0,2.0,yes
53.0,management,,tertiary,1624,no,no,30,apr,284.0,3.0,yes
53.0,services,,secondary,341,no,no,30,apr,423.0,2.0,yes
31.0,management,,tertiary,2016,no,no,30,apr,209.0,1.0,yes
26.0,admin.,,secondary,255,no,no,30,apr,457.0,1.0,yes
30.0,technician,,secondary,4684,yes,no,30,apr,268.0,3.0,yes
24.0,admin.,,secondary,1052,no,no,30,apr,354.0,1.0,yes
28.0,management,,tertiary,1808,no,no,30,apr,309.0,1.0,yes
26.0,unemployed,,tertiary,3511,no,no,30,apr,439.0,2.0,yes
35.0,technician,,secondary,518,yes,no,30,apr,616.0,1.0,yes
28.0,technician,,secondary,227,no,no,30,apr,278.0,1.0,yes
30.0,admin.,,secondary,270,no,no,30,apr,437.0,1.0,yes
32.0,management,,tertiary,4733,no,no,30,apr,532.0,1.0,yes
52.0,self-employed,,tertiary,6657,no,no,30,apr,917.0,1.0,yes
38.0,management,,tertiary,613,no,no,30,apr,242.0,1.0,yes
34.0,self-employed,,tertiary,5462,no,no,30,apr,430.0,1.0,yes
29.0,technician,,secondary,674,no,no,30,apr,483.0,1.0,yes
30.0,management,,tertiary,364,no,no,30,apr,306.0,2.0,yes
31.0,services,,secondary,181,no,no,30,apr,325.0,1.0,yes
24.0,student,,primary,474,no,no,30,apr,551.0,1.0,yes
25.0,management,,tertiary,219,no,no,30,apr,458.0,1.0,yes
47.0,management,,tertiary,86,no,no,30,apr,387.0,3.0,yes
33.0,student,,unknown,1170,no,no,30,apr,352.0,1.0,yes
34.0,admin.,,tertiary,18,yes,yes,30,apr,359.0,1.0,yes
36.0,technician,,tertiary,197,no,no,30,apr,260.0,1.0,yes
50.0,management,,tertiary,938,no,no,30,apr,780.0,1.0,yes
34.0,management,,tertiary,1228,no,no,30,apr,580.0,2.0,yes
54.0,technician,divorced,secondary,2156,yes,no,30,apr,258.0,1.0,yes
47.0,technician,,tertiary,2408,no,no,30,apr,376.0,1.0,yes
31.0,admin.,,secondary,35,no,no,30,apr,615.0,1.0,yes
36.0,management,,tertiary,393,yes,no,30,apr,555.0,2.0,yes
35.0,services,,unknown,618,no,no,30,apr,951.0,1.0,yes
25.0,student,,secondary,1608,no,no,30,apr,664.0,2.0,yes
46.0,management,,tertiary,699,no,no,30,apr,970.0,1.0,yes
49.0,entrepreneur,,secondary,5802,no,no,30,apr,618.0,2.0,yes
47.0,blue-collar,,primary,2749,yes,no,30,apr,774.0,2.0,yes
35.0,management,,tertiary,1162,no,no,30,apr,175.0,1.0,yes
30.0,technician,,secondary,776,no,no,30,apr,861.0,2.0,yes
31.0,management,,tertiary,1619,no,no,30,apr,327.0,2.0,yes
55.0,admin.,,secondary,139,no,no,30,apr,241.0,1.0,yes
25.0,admin.,,secondary,2816,no,no,30,apr,327.0,1.0,yes
26.0,technician,,secondary,507,no,no,30,apr,380.0,1.0,yes
85.0,retired,,primary,98,no,no,30,apr,416.0,1.0,yes
29.0,management,,tertiary,2753,no,no,30,apr,645.0,1.0,yes
39.0,management,,tertiary,0,no,no,30,apr,342.0,3.0,yes
33.0,blue-collar,,secondary,498,no,no,30,apr,301.0,1.0,yes
33.0,blue-collar,,tertiary,700,no,no,30,apr,169.0,1.0,yes
58.0,management,,tertiary,4152,yes,no,30,apr,750.0,2.0,yes
61.0,retired,divorced,secondary,927,no,no,30,apr,427.0,3.0,yes
50.0,admin.,,secondary,2252,no,no,30,apr,652.0,2.0,yes
54.0,technician,,secondary,0,no,no,30,apr,766.0,3.0,yes
33.0,technician,,tertiary,0,no,no,30,apr,227.0,2.0,yes
36.0,admin.,,secondary,728,no,no,30,apr,230.0,1.0,yes
31.0,management,,tertiary,354,no,no,30,apr,502.0,1.0,yes
24.0,student,,secondary,382,no,no,30,apr,567.0,2.0,yes
29.0,management,,tertiary,36252,yes,no,30,apr,501.0,1.0,yes
40.0,management,,tertiary,158,no,no,30,apr,712.0,2.0,yes
29.0,blue-collar,,secondary,734,yes,yes,30,apr,259.0,1.0,yes
30.0,admin.,,tertiary,305,no,no,30,apr,633.0,1.0,yes
45.0,blue-collar,,secondary,10252,no,no,4,may,675.0,2.0,yes
37.0,management,,tertiary,3141,no,no,4,may,384.0,2.0,yes
28.0,unemployed,,primary,236,no,no,4,may,193.0,1.0,yes
33.0,management,,tertiary,5437,no,no,4,may,267.0,1.0,yes
33.0,technician,,secondary,133,no,no,4,may,218.0,1.0,yes
45.0,blue-collar,,secondary,640,yes,no,4,may,447.0,1.0,yes
25.0,student,,tertiary,253,no,no,4,may,597.0,1.0,yes
41.0,blue-collar,,secondary,5060,no,no,4,may,963.0,1.0,yes
38.0,technician,divorced,secondary,902,yes,no,4,may,301.0,3.0,yes
47.0,technician,,secondary,335,no,no,4,may,417.0,1.0,yes
49.0,management,,tertiary,1,no,no,4,may,1076.0,3.0,yes
42.0,admin.,,secondary,1451,yes,no,4,may,251.0,4.0,yes
33.0,technician,,tertiary,1636,yes,no,4,may,592.0,1.0,yes
36.0,admin.,,tertiary,3221,no,no,4,may,322.0,11.0,yes
60.0,technician,,secondary,316,no,no,4,may,545.0,2.0,yes
33.0,technician,,secondary,2044,yes,no,4,may,532.0,3.0,yes
33.0,technician,,secondary,557,no,no,4,may,367.0,1.0,yes
33.0,services,,secondary,489,yes,no,4,may,297.0,4.0,yes
32.0,student,,tertiary,1138,no,no,4,may,214.0,3.0,yes
36.0,self-employed,,secondary,188,yes,yes,4,may,1046.0,3.0,yes
45.0,technician,,secondary,1998,no,no,4,may,237.0,5.0,yes
35.0,management,,tertiary,520,yes,no,4,may,458.0,3.0,yes
38.0,management,divorced,tertiary,6368,yes,no,4,may,922.0,4.0,yes
30.0,self-employed,,tertiary,2666,no,no,4,may,781.0,3.0,yes
31.0,technician,,secondary,4182,yes,no,4,may,347.0,2.0,yes
32.0,self-employed,divorced,tertiary,3271,no,no,4,may,949.0,3.0,yes
44.0,self-employed,,unknown,163,yes,no,4,may,364.0,3.0,yes
39.0,management,,tertiary,1515,yes,no,4,may,815.0,6.0,yes
45.0,blue-collar,,primary,803,yes,no,4,may,742.0,4.0,yes
32.0,blue-collar,,secondary,400,no,no,4,may,268.0,3.0,yes
39.0,management,,tertiary,2454,yes,no,4,may,716.0,3.0,yes
30.0,management,,tertiary,533,no,no,4,may,365.0,4.0,yes
63.0,management,,unknown,2352,no,no,4,may,475.0,7.0,yes
56.0,retired,,primary,9367,no,no,4,may,617.0,2.0,yes
26.0,technician,,secondary,237,yes,no,4,may,1091.0,3.0,yes
37.0,student,,unknown,444,no,no,4,may,1063.0,5.0,yes
29.0,management,,tertiary,9407,no,no,4,may,267.0,6.0,yes
24.0,student,,secondary,387,no,no,4,may,340.0,,yes
35.0,entrepreneur,,secondary,2971,no,no,4,may,429.0,4.0,yes
43.0,technician,,tertiary,2643,no,no,4,may,331.0,5.0,yes
39.0,blue-collar,,secondary,261,no,no,4,may,841.0,4.0,yes
59.0,retired,divorced,secondary,514,no,no,4,may,673.0,6.0,yes
50.0,blue-collar,,primary,5872,yes,no,5,may,762.0,3.0,yes
44.0,services,divorced,secondary,-368,yes,no,5,may,895.0,1.0,yes
35.0,student,,secondary,188,yes,no,5,may,863.0,1.0,yes
30.0,blue-collar,,secondary,61,yes,no,5,may,525.0,1.0,yes
58.0,admin.,,secondary,2160,yes,yes,5,may,1090.0,1.0,yes
37.0,management,,tertiary,658,yes,no,5,may,838.0,1.0,yes
39.0,management,,tertiary,0,yes,no,5,may,811.0,2.0,yes
31.0,blue-collar,,secondary,196,yes,no,5,may,568.0,1.0,yes
33.0,self-employed,,tertiary,94,yes,no,5,may,955.0,2.0,yes
41.0,management,,tertiary,326,yes,no,5,may,788.0,1.0,yes
44.0,services,,secondary,-395,yes,no,5,may,894.0,1.0,yes
46.0,blue-collar,,unknown,9328,yes,no,5,may,725.0,3.0,yes
30.0,technician,,secondary,-522,yes,yes,5,may,670.0,2.0,yes
35.0,admin.,,secondary,1286,yes,no,5,may,862.0,3.0,yes
27.0,admin.,,secondary,710,yes,yes,6,may,653.0,1.0,yes
39.0,technician,divorced,tertiary,3,no,no,6,may,488.0,1.0,yes
32.0,self-employed,,tertiary,0,yes,no,6,may,767.0,1.0,yes
37.0,technician,divorced,secondary,141,yes,no,6,may,848.0,1.0,yes
31.0,technician,,secondary,53,yes,yes,6,may,530.0,1.0,yes
30.0,management,divorced,tertiary,415,yes,yes,6,may,984.0,1.0,yes
34.0,entrepreneur,,tertiary,0,yes,no,6,may,611.0,1.0,yes
31.0,blue-collar,,secondary,1979,yes,yes,6,may,1205.0,1.0,yes
